Model,ROC AUC (Win),ROC AUC (Draw),ROC AUC (Loss),ROC AUC (Micro-avg)
logreg_baseline,0.5773809523809523,0.5661764705882353,0.5416666666666667,0.6665512465373961
random_forest,0.3601190476190476,0.5882352941176471,0.44999999999999996,0.6274238227146814
neural_network,0.6458333333333333,0.5514705882352942,0.5861111111111111,0.7340720221606648
neural_network_weighted,0.6101190476190477,0.6838235294117647,0.5750000000000001,0.7191828254847645
lstm,0.46524064171123,0.25,0.4307692307692308,0.5758928571428571
hybrid_lstm,0.5294117647058822,0.1923076923076923,0.41025641025641024,0.6326530612244897
